价钱,面积,所属区
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
3800,45,1
780,11,1
1260,10,1
1430,11,1
1090,10,1
2300,67,1
1900,71,1
4200,79,1
7500,114,1
3300,58,1
5500,170,1
1800,67,1
2200,56,1
1590,14,1
3400,73,1
3900,108,1
4200,80,1
3400,108,1
3300,92,1
6500,80,1
5500,68,1
3200,80,1
11000,176,1
6000,169,1
6500,89,1
7800,130,1
5000,98,1
3400,62,1
5800,120,1
3200,62,1
6200,103,1
2100,51,1
7000,106,1
6800,102,1
2600,70,1
1098,15,1
3300,89,1
900,16,1
1000,18,1
1250,18,1
1250,18,1
4200,90,1
2200,48,1
3000,79,1
5200,68,1
1190,13,1
2300,58,1
1130,10,1
4500,141,1
1290,12,1
5300,68,1
5200,51,1
2400,47,1
1730,17,1
1338,28,1
7700,125,1
5000,180,1
1330,15,1
5200,125,1
2600,84,1
5000,128,1
1200,41,1
1200,74,1
4500,92,1
3500,89,1
5000,110,1
5500,85,1
2800,56,1
2138,45,1
7500,136,1
2500,74,1
2350,50,1
1080,18,1
4000,51,1
3800,60,1
2200,30,1
4500,67,1
2500,59,1
6500,112,1
2250,30,1
3800,47,1
2200,52,1
3400,77,1
3500,58,1
1100,16,1
950,16,1
950,16,1
2300,30,1
950,16,1
950,16,1
1000,17,1
3000,75,1
900,14,1
1300,20,1
3500,40,1
1100,18,1
900,15,1
1100,18,1
900,14,1
3998,88,1
1000,16,1
2000,53,1
3200,63,1
3600,85,1
2900,53,1
3400,85,1
1590,16,1
3500,90,1
4000,88,1
1000,16,1
1000,16,1
3600,98,1
950,11,1
600,11,1
5500,118,1
3500,98,1
920,10,1
4000,77,1
1460,14,1
3300,108,1
1060,10,1
5800,79,1
2400,79,1
1460,14,1
1490,15,1
1030,10,1
1460,20,1
2500,50,1
1290,12,1
1530,11,1
1260,12,1
1290,12,1
2200,57,1
3800,68,1
1460,16,1
6200,106,1
1460,16,1
1230,12,1
2200,30,1
3000,63,1
2600,77,1
3200,59,1
3000,68,1
3160,70,1
1230,12,1
1390,14,1
2200,49,1
1390,13,1
1290,13,1
1330,10,1
1090,17,1
1430,14,1
990,12,1
4600,134,1
930,10,1
930,10,1
3300,100,1
1090,17,1
2200,55,1
1000,13,1
950,11,1
930,10,1
2800,112,1
1090,14,1
3100,65,1
1050,12,1
3200,91,1
1390,14,1
2400,77,1
4500,99,1
1360,18,1
4500,66,1
1000,13,1
800,11,1
4000,88,1
1350,18,1
2400,95,1
1130,10,1
3800,80,1
1230,15,1
6000,80,1
2800,89,1
900,10,1
3300,62,1
700,17,1
1200,15,1
1200,15,1
1700,50,1
1150,15,1
900,10,1
5000,116,1
900,12,1
1060,10,1
1160,10,1
1260,11,1
1160,10,1
1030,10,1
1700,48,1
7500,136,1
3600,89,1
2200,50,1
3200,57,1
3500,89,1
2900,74,1
2000,43,1
10000,181,1
3500,85,1
6000,79,1
2000,30,1
1490,16,1
5800,102,1
2200,45,1
1490,12,1
5800,68,1
2200,83,1
2100,30,1
3200,62,1
4500,66,1
1500,56,1
2400,38,1
1630,20,1
6200,80,1
3200,90,1
960,12,1
2000,30,1
1600,44,1
4000,110,1
3500,88,1
890,13,1
3800,107,1
1590,11,1
1530,14,1
1530,13,1
2200,73,1
2900,89,1
5800,65,1
5500,156,1
2200,47,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
3600,102,1
2900,72,1
3500,92,1
1390,12,1
5300,148,1
1590,13,1
4000,68,1
2100,54,1
2900,73,1
5000,66,1
3900,55,1
1560,14,1
9000,151,1
4000,128,1
2600,80,1
3000,48,1
8000,112,1
2900,59,1
3500,72,1
1090,10,1
1360,18,1
5300,110,1
2200,30,1
2800,80,1
3100,84,1
4200,126,1
1300,18,1
12000,143,1
1250,18,1
